IDDIST17,Ensemble,Watershed,Site
291001120,164,Haumi,Haumi
291001130,258,Haumi,Haumi
291001150,117,Ma'atea,Ma'atea
291001160,232,Ma'atea,Ma'atea
291001170,169,Ma'atea,Ma'atea
292001220,239,Atiha,Atiha
292001280,233,Vaianae,Vaianae
292001300,253,Ha'apiti,Ha'apiti
292001310,119,Ha'apiti,Ha'apiti
294001630,44,Pihaena,Pihaena
294001650,280,Paopao,Paopao
294001650,280,Paopao 3,Paopao 3
294001660,162,Paopao,Paopao
294001660,162,Paopao 2,Paopao 2
294001670,148,Paopao,Paopao
294001670,148,Paopao 2,Paopao 2
294001680,82,Paopao,Paopao
294001680,82,Paopao 2,Paopao 2
294001690,329,Paopao,Paopao
294001690,329,Paopao 2,Paopao 2
294001700,280,Paopao,Paopao
294001700,280,Paopao 1,Paopao 1
294001780,193,Maharepa,Maharepa
294001790,136,Maharepa,Maharepa
294001800,167,Maharepa,Maharepa
294001810,202,Maharepa,Maharepa
295001480,368,Papetoai,Papetoai
295001500,237,Papetoai,Papetoai
295001510,193,Papetoai,Papetoai
295001550,10,Opunohu,Opunohu
295001550,10,Opunohu 2,Opunohu 2
295001560,78,Opunohu,Opunohu
295001560,78,Opunohu 1,Opunohu 1
295001570,71,Opunohu,Opunohu
295001570,71,Opunohu 1,Opunohu 1
296001930,145,Teavaro,Teavaro
296001940,222,Teavaro,Teavaro
