"","Site","mean_DIN_mgL","range_DIN_mgL","sd_DIN_mgL","mean_PO4_mgL","range_PO4_mgL","sd_PO4_mgL","mean_N.P","range_N.P","sd_N.P","mean_TSS_mgL","range_TSS_mgL","sd_TSS_mgL"
"1","Atiha",0.06,"0.02-0.09",0.02,0.15,"0.08-0.27",0.05,2.72,"0.93-4.51",1.11,5.39,"0-38.12",10.4
"2","Ha'apiti",0.08,"0.02-0.13",0.03,0.11,"0.07-0.24",0.05,5.4,"1.91-8.22",2.16,14.23,"0-81.25",24.01
"3","Haumi",0.18,"0.08-0.28",0.08,0.15,"0.09-0.3",0.06,8.48,"4.49-13.17",3.55,12.26,"1.25-81.88",26.2
"4","Ma'atea",0.07,"0.01-0.12",0.04,0.11,"0.08-0.15",0.03,4.2,"0.68-7.53",2.13,2.53,"0.5-4",1.31
"5","Maharepa",0.07,"0.01-0.38",0.09,0.21,"0.15-0.32",0.05,2.29,"0.51-11.38",2.65,7.71,"0-20.62",7.47
"6","Opunohu 1",0.06,"0.02-0.12",0.02,0.12,"0.05-0.48",0.11,5.03,"0.29-10.27",2.6,11.09,"1.25-72.5",21.65
"7","Opunohu 2",0.25,"0.12-0.51",0.12,0.11,"0.06-0.28",0.06,19.74,"2.79-48.58",13.75,7.54,"0.62-40",11.67
"8","Paopao",0.26,"0.09-0.53",0.1,0.11,"0.03-0.26",0.06,18.7,"6.59-39.36",8.99,NA,NA,NA
"9","Paopao 1",0.23,"0.14-0.43",0.09,0.09,"0.02-0.19",0.06,24.17,"8.15-54.7",15.8,136.95,"1-901.67",337.35
"10","Paopao 2",0.17,"0.14-0.24",0.03,0.17,"0.05-0.45",0.14,10.64,"2.27-20.98",7.25,117.19,"1.5-783.33",293.78
"11","Paopao 3",0.15,"0.07-0.32",0.09,0.26,"0.08-0.72",0.18,4.68,"1.47-6.79",2.06,NA,NA,NA
"12","Papetoai",0.14,"0.02-0.27",0.07,0.22,"0.15-0.28",0.05,4.35,"0.79-9.13",2.57,45.86,"2-293.75",100.69
"13","Pihaena",0.08,"0-0.35",0.09,0.29,"0.12-0.69",0.16,1.92,"0.04-5.14",1.55,29.58,"2.5-126.25",41
"14","Teavaro",0.16,"0.01-0.33",0.11,0.13,"0.02-0.23",0.05,8.19,"2.77-17.27",4.73,5.55,"1-12.5",3.63
"15","Vaianae",0.06,"0.02-0.09",0.02,0.1,"0.05-0.27",0.05,4.47,"1.41-6.29",1.44,8.24,"1-58.75",16.04
